target_D,actual_D,fractal_r_squared,realization,rms_acceleration,rms_force,rms_stress,total_vibration_energy,total_force_energy,peak_frequency_acc,peak_frequency_force,spectral_exponent_acc,spectral_amplitude_acc,spectral_r2_acc,spectral_exponent_force,spectral_amplitude_force,spectral_r2_force
2.25,2.387764391767577,0.9979660639008239,19,37.70043767703801,18677.569483204265,1368525.8876764798,0.10173382144229312,94637.11289276404,0.41015625,0.0,-0.1067684042042492,0.1555112424042132,0.030499337606679788,-1.324916371876973,30284.545223064128,0.9630559375887913
2.35,2.450469309925504,0.9979238251126523,0,inf,inf,inf,,,0.01171875,0.01171875,,,0.0,,,0.0
2.35,2.4421518666867996,0.9979984592655328,1,6.318769792615078,41347.76944015972,229371.34347192734,0.0008964606230472375,5127457.004775847,0.375,0.0,0.09425208515208001,0.0011021164634834012,0.06850842910492193,0.030074741816577925,19314.41522292944,0.030241008130448537
2.35,2.4414172309471267,0.9980631903040954,2,inf,inf,inf,,,0.01171875,0.01171875,,,0.0,,,0.0
2.35,2.439334207882361,0.9979383802556654,3,10.417050342868025,60546.663166517996,378138.9274461093,0.0024364397559187905,10994570.851883238,0.375,0.0,0.09425208515207995,0.002995380163108494,0.06850842910492182,0.03007474182935349,41415.014581548385,0.03024100815532649
2.35,2.4441629880615694,0.9979008378667644,4,0.9264264894516463,1278.3477263095647,33629.28156709476,3.361444133988167e-05,9676.486351099962,0.50390625,0.0,-1.0924678501132599,0.00012618827220917003,0.7578329082221921,0.8526092571001103,24.210101798239673,0.8435876568251325
2.35,2.45040489701021,0.9979285465752971,5,inf,inf,inf,,,0.01171875,0.01171875,,,0.0,,,0.0
2.35,2.452403577892758,0.9978224036476498,6,8.77404051710117,36661.29224069816,318497.6707707725,0.001728484233793131,4031005.525222879,0.375,0.0,0.09425208515207995,0.0021250135052886974,0.06850842910492182,0.030074741837923934,15184.235460214482,0.030241008172022812
2.35,2.4523505439567193,0.9978020130802009,7,inf,inf,inf,,,0.01171875,0.01171875,,,0.0,,,0.0
2.35,2.448738633316906,0.9978227239970665,8,34.46126021012027,34912.523958908976,1250943.745627366,0.026664194065170035,3655614.144324954,0.375,0.0,0.09425208515208004,0.032781191397842135,0.06850842910492187,0.030074741841935478,13770.18849783284,0.03024100817983569
2.35,2.454211239204805,0.9978214232394526,9,4.42765309798667,4581.971997054732,160723.8074569161,0.0004545069484373932,90303.7376663332,0.46875,0.0,-0.3221781366976909,0.0008618434133145484,0.47210673737094205,1.29482600538638,57.521618426288356,0.8082530140206124
2.35,2.4467787377137418,0.9979268555187634,10,inf,inf,inf,,,0.01171875,0.01171875,,,0.0,,,0.0
2.35,2.454043683869087,0.9976078730378258,11,16.955390085756562,21787.104618256784,615480.6601129632,0.006454784138083905,1423629.2195310486,0.375,0.0,0.09425208515207996,0.007935567590946971,0.06850842910492179,0.030074741832767565,5362.612663921991,0.030241008161978562
2.35,2.4494949975397953,0.9979110843296319,12,inf,inf,inf,,,0.01171875,0.01171875,,,0.0,,,0.0
2.35,2.457957514603137,0.997707434176268,13,21.77081679044014,22069.50019756542,790280.6494929771,0.010656156530447169,1326188.4098939863,0.3515625,0.0,0.18223458825457942,0.011876760142827774,0.20280114377809122,-0.21203754774607883,7187.77464426859,0.5903770980241169
2.35,2.4576517904641495,0.9977067155832562,14,11.034781520870357,58066.57646789409,400562.569207594,0.002733969272927879,10112308.217820669,0.375,0.0,0.09425208515208,0.0033611655312971726,0.06850842910492182,0.030074741841708257,38091.65431857416,0.03024100817938951
2.35,2.4469250672841327,0.9979621976258125,15,5.785294955356699,16963.836106459366,210006.2068794482,0.0007658237024220377,966539.8073853566,0.45703125,0.0,-0.22733136942709192,0.0013215644029197777,0.315938308382931,0.3536943670047956,2271.8311691830963,0.7594753031393644
2.35,2.4459744198424507,0.997946413426279,16,38.371455623750066,32677.032833678688,1392883.8391421274,0.0791023675091876,50757.510499018055,0.46875,0.0,-0.7170984959704507,0.21668300408334687,0.5974252185822144,-1.05190456013505,93455.02496983884,0.9571417185021238
2.35,2.4464116228601727,0.9978629051230216,17,23.360504906555743,23680.300707754584,847986.3281079736,0.012267010350248773,1537359.7246788559,0.3515625,0.0,0.17621876734442096,0.013765123453540258,0.19310188861147717,-0.195748973866677,8127.957007636332,0.5534116992803614
2.35,2.456706287759396,0.997630667936437,18,inf,inf,inf,,,0.01171875,0.01171875,,,0.0,,,0.0
2.35,2.4367328332487945,0.9980333040200472,19,16.231015924389787,16474.531924923947,589185.8780553492,0.005929382431803472,713632.8212497211,0.33984375,0.0,0.2124678060371635,0.006386200209845813,0.25091312847367003,-0.29295192153015776,4379.246425154167,0.7241527951092762
2.45,2.494610945807226,0.9978757937697839,0,inf,inf,inf,,,0.01171875,0.01171875,,,0.0,,,0.0
2.45,2.5033647580034657,0.9977418174793402,1,11.609513476488631,46441.006575070336,421425.33919653733,0.00302617606086696,6468463.082815959,0.375,0.0,0.09425208515208,0.0037204070902120165,0.0685084291049219,0.030074741807253225,24365.798040733167,0.03024100811228749
