vehicle,target_D,beta_measured,beta_r2,rms_amplitude,energy,rms_acceleration,seed,realization
Vehicle A,2.15,1.9060526756854228,0.864894833892382,5.0,11.658142223310957,3.4144021765619463,21505,5
Vehicle B,2.15,1.9060526756854228,0.864894833892382,5.0,4.91024688248222,2.215907688168038,21505,5
Vehicle C,2.15,1.9060526756854228,0.864894833892382,5.0,5.963448610174015,2.4420173238890044,21505,5
Vehicle A,2.15,1.8932321750347927,0.8914374603894257,5.000000000000001,4.91024688248222,2.215907688168038,21506,6
Vehicle B,2.15,1.8932321750347927,0.8914374603894257,5.000000000000001,5.745846835795699,2.3970496106246317,21506,6
Vehicle C,2.15,1.8932321750347927,0.8914374603894257,5.000000000000001,7.006735760981967,2.6470239441648364,21506,6
Vehicle A,2.15,1.9156118565614613,0.8924935291166538,5.0,5.963448610174015,2.4420173238890044,21507,7
Vehicle B,2.15,1.9156118565614613,0.8924935291166538,5.0,6.025887082921672,2.4547682340542196,21507,7
Vehicle C,2.15,1.9156118565614613,0.8924935291166538,5.0,7.3321233578808735,2.7077893858054902,21507,7
Vehicle A,2.15,1.9038575779440543,0.8538876902618581,4.999999999999999,5.743583474615959,2.396577450160115,21508,8
Vehicle B,2.15,1.9038575779440543,0.8538876902618581,4.999999999999999,3.35529694162622,1.8317469644102649,21508,8
Vehicle C,2.15,1.9038575779440543,0.8538876902618581,4.999999999999999,4.076355304714244,2.0189985895770812,21508,8
Vehicle A,2.15,1.7513336088525826,0.8569388673502538,5.0,6.518389928611708,2.5531137711844547,21509,9
Vehicle B,2.15,1.7513336088525826,0.8569388673502538,5.0,3.2720621062195194,1.8088842158135825,21509,9
Vehicle C,2.15,1.7513336088525826,0.8569388673502538,5.0,3.9897898071407747,1.9974458208273822,21509,9
Vehicle A,2.15,1.9038682728003335,0.8976398761767408,4.999999999999999,4.076355304714244,2.0189985895770812,21510,10
Vehicle B,2.15,1.9038682728003335,0.8976398761767408,4.999999999999999,5.503001714697098,2.3458477603410453,21510,10
Vehicle C,2.15,1.9038682728003335,0.8976398761767408,4.999999999999999,6.700208927455716,2.588476178653324,21510,10
Vehicle A,2.15,1.7828223314256668,0.854626938092128,5.0,3.2720621062195194,1.8088842158135825,21511,11
Vehicle B,2.15,1.7828223314256668,0.854626938092128,5.0,4.911727606695237,2.2162417753248937,21511,11
Vehicle C,2.15,1.7828223314256668,0.854626938092128,5.0,5.988187660168286,2.4470773711038003,21511,11
Vehicle A,2.15,2.0308305873759993,0.8739185498729325,5.000000000000001,5.503001714697098,2.3458477603410453,21512,12
Vehicle B,2.15,2.0308305873759993,0.8739185498729325,5.000000000000001,2.492020496786422,1.5786134728889216,21512,12
Vehicle C,2.15,2.0308305873759993,0.8739185498729325,5.000000000000001,3.023163159291772,1.7387245783308443,21512,12
Vehicle A,2.15,1.8881453062723166,0.8689080754553039,5.0,3.023163159291772,1.7387245783308443,21513,13
Vehicle B,2.15,1.8881453062723166,0.8689080754553039,5.0,7.413135279465259,2.7227073437050224,21513,13
Vehicle C,2.15,1.8881453062723166,0.8689080754553039,5.0,9.01183575282995,3.0019719773558764,21513,13
Vehicle A,2.15,1.8386775927926047,0.8173910830965955,5.0,9.01183575282995,3.0019719773558764,21514,14
Vehicle B,2.15,1.8386775927926047,0.8173910830965955,5.0,10.19291138950264,3.1926339266352852,21514,14
Vehicle C,2.15,1.8386775927926047,0.8173910830965955,5.0,12.4104952513787,3.5228532826926955,21514,14
Vehicle A,2.15,1.9028823593639363,0.8709467149808828,5.0,12.4104952513787,3.5228532826926955,21515,15
Vehicle B,2.15,1.9028823593639363,0.8709467149808828,5.0,7.767175713579188,2.786965323354273,21515,15
Vehicle C,2.15,1.9028823593639363,0.8709467149808828,5.0,9.440518740809035,3.0725427158640177,21515,15
Vehicle A,2.15,1.8139421233149544,0.8439716004270507,5.0,9.01183575282995,3.0019719773558764,21516,16
Vehicle B,2.15,1.8139421233149544,0.8439716004270507,5.0,5.544500274410397,2.3546762568154453,21516,16
Vehicle C,2.15,1.8139421233149544,0.8439716004270507,5.0,6.7449304660860285,2.597100395842646,21516,16
Vehicle A,2.15,1.8400871601077178,0.8525816824073216,5.0,9.01183575282995,3.0019719773558764,21517,17
Vehicle B,2.15,1.8400871601077178,0.8525816824073216,5.0,6.218018437412984,2.493595483917346,21517,17
Vehicle C,2.15,1.8400871601077178,0.8525816824073216,5.0,7.55588855876344,2.748797656933562,21517,17
Vehicle A,2.15,1.883613971719437,0.7944005130997046,5.000000000000001,7.55588855876344,2.748797656933562,21518,18
Vehicle B,2.15,1.883613971719437,0.7944005130997046,5.000000000000001,3.6430035509010352,1.908665384739042,21518,18
Vehicle C,2.15,1.883613971719437,0.7944005130997046,5.000000000000001,4.429167803845194,2.104558814536955,21518,18
Vehicle A,2.15,2.2019546671604795,0.9265653990546237,5.0,7.55588855876344,2.748797656933562,21519,19
Vehicle B,2.15,2.2019546671604795,0.9265653990546237,5.0,6.229673909860548,2.495931471387095,21519,19
Vehicle C,2.15,2.2019546671604795,0.9265653990546237,5.0,12.283417664978122,3.504770700770326,21519,19
Vehicle A,2.15,1.9774223109230504,0.9012337523230389,4.999999999999999,12.283417664978122,3.504770700770326,21520,20
Vehicle B,2.15,1.9774223109230504,0.9012337523230389,4.999999999999999,8.067158500074887,2.84027437056262,21520,20
Vehicle C,2.15,1.9774223109230504,0.9012337523230389,4.999999999999999,9.799021699569339,3.1303389112952833,21520,20
Vehicle A,2.15,2.130728598588477,0.9078107322812542,5.0,8.067158500074887,2.84027437056262,21521,21
Vehicle B,2.15,2.130728598588477,0.9078107322812542,5.0,5.227539770857123,2.2863813703879594,21521,21
Vehicle C,2.15,2.130728598588477,0.9078107322812542,5.0,6.338360652283678,2.5176101072810457,21521,21
Vehicle A,2.15,1.864788554175687,0.8358764812573353,4.999999999999999,6.338360652283678,2.5176101072810457,21522,22
Vehicle B,2.15,1.864788554175687,0.8358764812573353,4.999999999999999,4.560173289582196,2.1354562251617795,21522,22
Vehicle C,2.15,1.864788554175687,0.8358764812573353,4.999999999999999,5.54082559574019,2.3538958336638838,21522,22
Vehicle A,2.15,2.0440453491488086,0.8877331135480001,5.000000000000001,9.799021699569339,3.1303389112952833,21523,23
Vehicle B,2.15,2.0440453491488086,0.8877331135480001,5.000000000000001,5.772684565365914,2.402641164503329,21523,23
Vehicle C,2.15,2.0440453491488086,0.8877331135480001,5.000000000000001,7.025636416846754,2.6505917107028676,21523,23
Vehicle A,2.15,2.021093583180813,0.866841617744719,5.0,7.025636416846754,2.6505917107028676,21524,24
Vehicle B,2.15,2.021093583180813,0.866841617744719,5.0,8.375710015806101,2.8940818951450047,21524,24
Vehicle C,2.15,2.021093583180813,0.866841617744719,5.0,10.193304815279689,3.1926955406489497,21524,24
Vehicle A,2.15,2.124822741096434,0.8975965418456479,4.999999999999999,9.799021699569339,3.1303389112952833,21525,25
